Entity,Code,Year,Fossil fuels (TWh)
Indonesia,IDN,1990,577.7810668945312
Indonesia,IDN,1991,628.0452880859375
Indonesia,IDN,1992,685.2572021484375
Indonesia,IDN,1993,734.45263671875
Indonesia,IDN,1994,771.4893798828125
Indonesia,IDN,1995,839.4822998046875
Indonesia,IDN,1996,900.404052734375
Indonesia,IDN,1997,987.60791015625
Indonesia,IDN,1998,955.59765625
Indonesia,IDN,1999,1045.1099853515625
Indonesia,IDN,2000,1120.133056640625
Indonesia,IDN,2001,1195.0662841796875
Indonesia,IDN,2002,1232.8992919921875
Indonesia,IDN,2003,1343.9307861328125
Indonesia,IDN,2004,1328.16015625
Indonesia,IDN,2005,1365.140625
Indonesia,IDN,2006,1398.14208984375
Indonesia,IDN,2007,1496.811767578125
Indonesia,IDN,2008,1507.263427734375
Indonesia,IDN,2009,1554.0450439453125
Indonesia,IDN,2010,1691.9974365234375
Indonesia,IDN,2011,1820.8790283203125
Indonesia,IDN,2012,1884.6263427734375
Indonesia,IDN,2013,1801.454345703125
Indonesia,IDN,2014,1821.4461669921875
Indonesia,IDN,2015,1871.545654296875
Indonesia,IDN,2016,1856.93408203125
Indonesia,IDN,2017,1944.479248046875
Indonesia,IDN,2018,2108.05078125
Indonesia,IDN,2019,2238.24169921875
Indonesia,IDN,2020,2027.81298828125
Indonesia,IDN,2021,2068.531494140625
Iran,IRN,1965,92.2069091796875
Iran,IRN,1966,100.5743637084961
Iran,IRN,1967,110.77066802978516
Iran,IRN,1968,121.9254379272461
Iran,IRN,1969,133.94677734375
Iran,IRN,1970,158.70999145507812
Iran,IRN,1971,174.00050354003906
Iran,IRN,1972,195.86758422851562
Iran,IRN,1973,237.7022247314453
Iran,IRN,1974,269.8102111816406
Iran,IRN,1975,315.5079040527344
Iran,IRN,1976,355.12579345703125
Iran,IRN,1977,403.2174072265625
Iran,IRN,1978,387.310791015625
Iran,IRN,1979,422.05169677734375
Iran,IRN,1980,389.5502624511719
Iran,IRN,1981,389.5157775878906
Iran,IRN,1982,441.03875732421875
Iran,IRN,1983,527.5970458984375
Iran,IRN,1984,572.8623657226562
Iran,IRN,1985,626.4981079101562
Iran,IRN,1986,582.4266357421875
Iran,IRN,1987,623.6480102539062
Iran,IRN,1988,635.196044921875
Iran,IRN,1989,701.0689086914062
Iran,IRN,1990,789.4574584960938
Iran,IRN,1991,863.6488037109375
Iran,IRN,1992,946.2076416015625
Iran,IRN,1993,869.6021728515625
Iran,IRN,1994,988.3536987304688
